Freq	Power
[Hz]	[dB]
0.000	1.619
15.625	-1.390
31.250	-79.021
46.875	-72.373
62.500	-72.179
78.125	-66.662
93.750	-63.337
109.375	-59.866
125.000	-54.290
140.625	-48.036
156.250	-39.569
171.875	-26.029
187.500	-3.117
203.125	0.405
218.750	-8.385
234.375	-32.510
250.000	-43.464
265.625	-51.741
281.250	-57.924
296.875	-60.723
312.500	-57.526
328.125	-51.051
343.750	-43.956
359.375	-34.711
375.000	-19.101
390.625	-2.839
406.250	-1.679
421.875	-13.722
437.500	-32.329
453.125	-42.342
468.750	-49.712
484.375	-56.279
500.000	-59.971
515.625	-59.182
531.250	-52.963
546.875	-45.344
562.500	-35.151
578.125	-16.496
593.750	-4.451
609.375	-5.612
625.000	-21.863
640.625	-37.463
656.250	-46.536
671.875	-53.427
687.500	-58.999
703.125	-64.007
718.750	-66.522
734.375	-61.667
750.000	-53.819
765.625	-42.280
781.250	-18.148
796.875	-9.353
812.500	-12.877
828.125	-35.764
843.750	-49.259
859.375	-57.692
875.000	-63.902
890.625	-67.896
906.250	-74.175
921.875	-74.850
937.500	-76.743
953.125	-81.176
968.750	-79.189
984.375	-79.694
