Freq	Power
[Hz]	[dB]
0.000	1.613
2.441	-1.397
4.883	-109.346
7.324	-115.130
9.766	-110.953
12.207	-112.305
14.648	-104.324
17.090	-108.158
19.531	-98.849
21.973	-92.722
24.414	-96.390
26.855	-120.644
29.297	-113.922
31.738	-110.801
34.180	-102.528
36.621	-101.422
39.062	-99.002
41.504	-104.041
43.945	-120.853
46.387	-102.006
48.828	-110.575
51.270	-109.975
53.711	-103.122
56.152	-101.546
58.594	-100.757
61.035	-98.452
63.477	-105.523
65.918	-105.078
68.359	-109.077
70.801	-112.333
73.242	-102.547
75.684	-109.850
78.125	-101.303
80.566	-96.505
83.008	-102.948
85.449	-114.245
87.891	-99.686
90.332	-101.039
92.773	-101.442
95.215	-95.591
97.656	-94.751
100.098	-96.539
102.539	-95.549
104.980	-106.910
107.422	-113.267
109.863	-101.644
112.305	-94.358
114.746	-108.136
117.187	-108.778
119.629	-103.631
122.070	-105.940
124.512	-111.983
126.953	-97.819
129.395	-108.338
131.836	-104.635
134.277	-102.565
136.719	-99.859
139.160	-92.425
141.602	-91.319
144.043	-113.621
146.484	-107.566
148.926	-92.918
151.367	-98.595
153.809	-90.180
156.250	-102.854
158.691	-93.126
161.133	-96.117
163.574	-89.618
166.016	-89.396
168.457	-89.571
170.898	-85.196
173.340	-84.034
175.781	-81.240
178.223	-77.814
180.664	-75.824
183.105	-71.937
185.547	-67.490
187.988	-62.605
190.430	-56.607
192.871	-48.376
195.312	-35.790
197.754	-4.545
200.195	0.453
202.637	-6.632
205.078	-38.347
207.520	-49.890
209.961	-57.618
212.402	-63.624
214.844	-68.240
217.285	-72.670
219.727	-75.345
222.168	-79.019
224.609	-81.614
227.051	-85.387
229.492	-84.483
231.934	-90.054
234.375	-89.749
236.816	-92.015
239.258	-95.941
241.699	-91.973
244.141	-96.151
246.582	-99.692
249.023	-96.145
251.465	-107.463
253.906	-98.641
256.348	-99.165
258.789	-106.979
261.230	-101.147
263.672	-101.949
266.113	-106.095
268.555	-97.907
270.996	-105.256
273.437	-105.832
275.879	-98.803
278.320	-105.557
280.762	-98.312
283.203	-96.316
285.645	-100.606
288.086	-99.320
290.527	-100.998
292.969	-123.291
295.410	-103.945
297.852	-98.146
300.293	-100.227
302.734	-100.971
305.176	-123.112
307.617	-105.698
310.059	-105.207
312.500	-114.778
314.941	-106.766
317.383	-100.175
319.824	-102.346
322.266	-97.424
324.707	-100.199
327.148	-92.796
329.590	-97.752
332.031	-94.916
334.473	-104.791
336.914	-95.751
339.355	-98.125
341.797	-100.443
344.238	-96.717
346.680	-109.875
349.121	-93.323
351.562	-99.570
354.004	-91.594
356.445	-91.292
358.887	-94.477
361.328	-89.016
363.770	-87.251
366.211	-86.150
368.652	-83.922
371.094	-82.099
373.535	-80.052
375.977	-76.576
378.418	-74.471
380.859	-71.072
383.301	-67.699
385.742	-63.255
388.184	-58.371
390.625	-52.050
393.066	-43.678
395.508	-30.468
397.949	-5.486
400.391	-1.478
402.832	-9.682
405.273	-35.598
407.715	-46.671
410.156	-54.265
412.598	-60.075
415.039	-64.718
417.480	-68.739
419.922	-72.144
422.363	-75.273
424.805	-78.410
427.246	-78.878
429.687	-85.681
432.129	-83.279
434.570	-85.919
437.012	-90.550
439.453	-88.110
441.895	-94.171
444.336	-92.999
446.777	-93.721
449.219	-95.756
451.660	-95.748
454.102	-97.385
456.543	-97.179
458.984	-99.197
461.426	-116.085
463.867	-95.642
466.309	-99.789
468.750	-100.843
471.191	-96.568
473.633	-104.799
476.074	-98.256
478.516	-101.478
480.957	-104.002
483.398	-118.268
485.840	-104.820
488.281	-106.669
490.723	-115.312
493.164	-101.638
495.605	-98.220
498.047	-96.183
500.488	-100.341
502.930	-97.560
505.371	-104.090
507.812	-105.690
510.254	-109.332
512.695	-98.491
515.137	-99.229
517.578	-101.414
520.020	-102.716
522.461	-96.504
524.902	-102.162
527.344	-97.421
529.785	-115.421
532.227	-99.159
534.668	-103.370
537.109	-95.933
539.551	-109.919
541.992	-93.924
544.434	-104.644
546.875	-93.325
549.316	-98.574
551.758	-93.860
554.199	-98.020
556.641	-92.786
559.082	-90.522
561.523	-91.688
563.965	-87.463
566.406	-85.425
568.848	-85.561
571.289	-81.917
573.730	-79.579
576.172	-77.650
578.613	-74.479
581.055	-71.219
583.496	-67.725
585.937	-63.412
588.379	-58.326
590.820	-51.942
593.262	-43.296
595.703	-29.407
598.145	-8.194
600.586	-5.152
603.027	-14.541
605.469	-37.149
607.910	-47.811
610.352	-55.223
612.793	-60.917
615.234	-65.555
617.676	-69.332
620.117	-72.932
622.559	-76.238
625.000	-78.116
627.441	-81.419
629.883	-83.078
632.324	-85.153
634.766	-87.955
637.207	-88.215
639.648	-91.505
642.090	-92.370
644.531	-90.695
646.973	-100.911
649.414	-93.130
651.855	-104.219
654.297	-95.103
656.738	-99.990
659.180	-102.609
661.621	-96.184
664.062	-114.178
666.504	-100.319
668.945	-102.622
671.387	-108.665
673.828	-100.288
676.270	-122.385
678.711	-101.487
681.152	-105.783
683.594	-99.451
686.035	-110.307
688.477	-111.507
690.918	-102.884
693.359	-106.482
695.801	-109.355
698.242	-97.322
700.684	-95.079
703.125	-105.440
705.566	-104.980
708.008	-103.253
710.449	-101.850
712.891	-101.691
715.332	-98.915
717.773	-98.841
720.215	-114.027
722.656	-114.118
725.098	-104.190
727.539	-102.130
729.980	-107.874
732.422	-106.637
734.863	-107.171
737.305	-103.557
739.746	-104.067
742.187	-100.810
744.629	-99.614
747.070	-113.274
749.512	-100.431
751.953	-101.873
754.395	-97.235
756.836	-95.402
759.277	-95.611
761.719	-96.248
764.160	-91.146
766.602	-92.040
