Freq	Power
[Hz]	[dB]
0.000	-41.652
2.441	-44.664
4.883	-108.961
7.324	-105.401
9.766	-104.503
12.207	-107.115
14.648	-108.812
17.090	-107.860
19.531	-97.437
21.973	-93.135
24.414	-94.557
26.855	-106.778
29.297	-98.810
31.738	-99.512
34.180	-100.943
36.621	-97.348
39.062	-98.836
41.504	-102.991
43.945	-105.142
46.387	-107.750
48.828	-101.832
51.270	-101.878
53.711	-105.726
56.152	-127.621
58.594	-103.362
61.035	-107.551
63.477	-109.432
65.918	-120.280
68.359	-108.762
70.801	-113.556
73.242	-111.085
75.684	-101.153
78.125	-100.613
80.566	-102.766
83.008	-102.625
85.449	-93.463
87.891	-97.187
90.332	-104.796
92.773	-112.482
95.215	-103.867
97.656	-101.295
100.098	-97.405
102.539	-96.057
104.980	-102.955
107.422	-111.706
109.863	-102.541
112.305	-103.615
114.746	-113.748
117.187	-112.180
119.629	-106.696
122.070	-120.066
124.512	-102.858
126.953	-102.716
129.395	-106.102
131.836	-102.017
134.277	-107.475
136.719	-123.441
139.160	-119.810
141.602	-103.513
144.043	-101.034
146.484	-100.219
148.926	-107.343
151.367	-108.502
153.809	-107.285
156.250	-104.067
158.691	-100.017
161.133	-98.815
163.574	-100.759
166.016	-108.727
168.457	-116.504
170.898	-106.866
173.340	-98.775
175.781	-105.326
178.223	-102.194
180.664	-104.494
183.105	-107.216
185.547	-120.990
187.988	-107.537
190.430	-106.087
192.871	-99.071
195.312	-97.989
197.754	-100.986
200.195	-101.659
202.637	-101.754
205.078	-103.234
207.520	-104.782
209.961	-100.202
212.402	-99.500
214.844	-103.000
217.285	-108.743
219.727	-100.477
222.168	-96.037
224.609	-99.256
227.051	-109.287
229.492	-103.367
231.934	-102.183
234.375	-101.294
236.816	-105.140
239.258	-102.295
241.699	-96.329
244.141	-102.490
246.582	-107.298
249.023	-103.787
251.465	-105.791
253.906	-104.893
256.348	-101.102
258.789	-101.398
261.230	-91.563
263.672	-91.879
266.113	-107.703
268.555	-113.425
270.996	-109.161
273.437	-108.569
275.879	-113.611
278.320	-111.376
280.762	-108.757
283.203	-111.668
285.645	-102.319
288.086	-104.111
290.527	-112.336
292.969	-102.933
295.410	-105.098
297.852	-119.238
300.293	-109.651
302.734	-106.007
305.176	-114.528
307.617	-108.047
310.059	-104.541
312.500	-102.812
314.941	-101.194
317.383	-104.434
319.824	-107.998
322.266	-123.245
324.707	-112.412
327.148	-102.399
329.590	-105.800
332.031	-110.498
334.473	-104.364
336.914	-100.184
339.355	-119.536
341.797	-102.372
344.238	-102.131
346.680	-94.029
349.121	-93.929
351.562	-100.961
354.004	-110.303
356.445	-115.649
358.887	-109.050
361.328	-97.142
363.770	-99.494
366.211	-103.041
368.652	-101.461
371.094	-102.621
373.535	-95.972
375.977	-95.663
378.418	-112.603
380.859	-99.344
383.301	-96.787
385.742	-97.019
388.184	-101.017
390.625	-100.656
393.066	-104.395
395.508	-108.293
397.949	-107.908
400.391	-107.618
402.832	-105.664
405.273	-105.209
407.715	-112.614
410.156	-113.104
412.598	-106.810
415.039	-103.909
417.480	-105.403
419.922	-101.772
422.363	-114.051
424.805	-101.277
427.246	-96.380
429.687	-95.226
432.129	-95.762
434.570	-102.977
437.012	-108.927
439.453	-106.421
441.895	-104.221
444.336	-101.253
446.777	-100.092
449.219	-99.796
451.660	-102.273
454.102	-112.408
456.543	-120.434
458.984	-113.531
461.426	-103.868
463.867	-106.199
466.309	-100.851
468.750	-100.627
471.191	-112.356
473.633	-111.871
476.074	-104.048
478.516	-103.379
480.957	-107.213
483.398	-101.446
485.840	-102.439
488.281	-108.462
490.723	-105.877
493.164	-99.943
495.605	-101.497
498.047	-104.540
500.488	-104.011
502.930	-109.151
505.371	-102.121
507.812	-104.781
510.254	-100.159
512.695	-99.938
515.137	-110.078
517.578	-120.850
520.020	-116.462
522.461	-106.579
524.902	-107.248
527.344	-100.615
529.785	-102.124
532.227	-110.975
534.668	-114.427
537.109	-110.788
539.551	-114.607
541.992	-110.751
544.434	-117.921
546.875	-111.016
549.316	-101.899
551.758	-98.581
554.199	-103.943
556.641	-97.223
559.082	-95.817
561.523	-99.413
563.965	-103.548
566.406	-109.821
568.848	-114.498
571.289	-114.633
573.730	-108.215
576.172	-114.293
578.613	-108.914
581.055	-108.525
583.496	-102.605
585.937	-101.327
588.379	-114.813
590.820	-111.855
593.262	-102.757
595.703	-100.124
598.145	-105.781
600.586	-103.779
603.027	-98.300
605.469	-102.396
607.910	-93.161
610.352	-89.104
612.793	-97.060
615.234	-109.429
617.676	-112.150
620.117	-104.627
622.559	-100.762
625.000	-101.032
627.441	-105.628
629.883	-99.035
632.324	-95.940
634.766	-100.609
637.207	-102.075
639.648	-116.480
642.090	-100.187
644.531	-101.059
