Freq	Power
[Hz]	[dB]
0.000	-41.391
19.531	-44.282
39.062	-81.216
58.594	-90.339
78.125	-77.792
97.656	-82.709
117.187	-81.421
136.719	-80.133
156.250	-75.685
175.781	-82.368
195.312	-72.710
214.844	-74.500
234.375	-72.926
253.906	-69.949
273.437	-68.031
292.969	-65.571
312.500	-63.186
332.031	-60.353
351.562	-56.838
371.094	-53.469
390.625	-48.976
410.156	-43.647
429.687	-37.034
449.219	-27.866
468.750	-12.300
488.281	3.962
507.812	5.124
527.344	-6.914
546.875	-25.504
566.406	-35.464
585.937	-42.491
605.469	-47.919
625.000	-52.710
644.531	-56.135
664.062	-59.662
683.594	-63.050
703.125	-64.395
722.656	-69.111
742.187	-69.136
761.719	-73.208
781.250	-71.433
800.781	-78.623
820.312	-74.949
839.844	-78.327
859.375	-74.755
878.906	-84.421
898.437	-80.437
917.969	-83.781
937.500	-81.607
957.031	-82.210
976.562	-92.775
996.094	-73.923
1015.625	-79.684
1035.156	-85.658
1054.687	-83.152
1074.219	-89.265
1093.750	-87.385
1113.281	-93.507
1132.812	-82.198
1152.344	-79.461
1171.875	-81.040
1191.406	-80.790
1210.937	-92.369
1230.469	-84.900
