Freq	Power
[Hz]	[dB]
0.000	-42.543
0.244	-45.465
0.488	-72.652
0.732	-71.807
0.977	-72.393
1.221	-75.595
1.465	-76.032
1.709	-66.756
1.953	-66.632
2.197	-80.033
2.441	-76.998
2.686	-76.903
2.930	-76.742
3.174	-79.671
3.418	-69.703
3.662	-69.320
3.906	-69.711
4.150	-75.101
4.395	-77.567
4.639	-76.925
4.883	-79.713
5.127	-74.341
5.371	-81.797
5.615	-82.743
5.859	-85.396
6.104	-83.953
6.348	-79.571
6.592	-80.547
6.836	-82.917
7.080	-90.501
7.324	-77.697
7.568	-78.957
7.812	-86.889
8.057	-83.032
8.301	-78.890
8.545	-82.559
8.789	-95.679
9.033	-85.692
9.277	-79.542
9.521	-83.171
9.766	-88.881
10.010	-88.325
10.254	-83.190
10.498	-88.184
10.742	-86.137
10.986	-81.229
11.230	-89.434
11.475	-88.535
11.719	-89.075
11.963	-87.642
12.207	-86.018
12.451	-91.734
12.695	-81.197
12.939	-80.675
13.184	-82.008
13.428	-83.498
13.672	-81.041
13.916	-79.216
14.160	-83.576
14.404	-99.715
14.648	-87.203
14.893	-76.573
15.137	-72.942
15.381	-77.403
15.625	-87.558
15.869	-100.909
16.113	-91.359
16.357	-94.119
16.602	-87.935
16.846	-79.187
17.090	-75.227
17.334	-78.182
17.578	-85.090
17.822	-88.329
18.066	-85.933
18.311	-88.711
18.555	-91.252
18.799	-91.527
19.043	-85.770
19.287	-86.732
19.531	-91.702
19.775	-93.423
20.020	-85.868
20.264	-88.891
20.508	-91.575
20.752	-92.382
20.996	-89.674
21.240	-86.981
21.484	-87.803
21.729	-86.686
21.973	-87.897
22.217	-85.321
22.461	-91.104
22.705	-79.755
22.949	-80.901
23.193	-77.593
23.437	-84.702
23.682	-81.001
23.926	-81.859
24.170	-93.024
24.414	-89.515
24.658	-81.654
24.902	-68.269
25.146	-68.731
25.391	-81.996
25.635	-87.552
25.879	-89.827
26.123	-85.255
26.367	-82.551
26.611	-81.731
26.855	-86.583
27.100	-82.196
27.344	-89.185
27.588	-89.170
27.832	-83.346
28.076	-84.801
28.320	-84.025
28.564	-78.474
28.809	-87.269
29.053	-84.831
29.297	-86.901
29.541	-92.458
29.785	-89.465
30.029	-86.615
30.273	-92.854
30.518	-84.796
30.762	-82.795
31.006	-99.927
31.250	-84.937
31.494	-84.671
31.738	-85.846
31.982	-84.906
32.227	-88.123
32.471	-95.560
32.715	-84.850
32.959	-84.838
33.203	-89.075
33.447	-86.050
33.691	-97.708
33.936	-94.015
34.180	-90.895
34.424	-82.097
34.668	-71.734
34.912	-59.913
35.156	-60.676
35.400	-77.467
35.645	-80.135
35.889	-90.534
36.133	-89.032
36.377	-93.546
36.621	-80.242
36.865	-71.189
37.109	-72.115
37.354	-87.237
37.598	-77.051
37.842	-75.317
38.086	-83.637
38.330	-84.587
38.574	-73.764
38.818	-72.386
39.062	-71.803
39.307	-76.973
39.551	-79.141
39.795	-75.663
40.039	-77.604
40.283	-80.704
40.527	-85.251
40.771	-85.043
41.016	-90.431
41.260	-85.965
41.504	-82.351
41.748	-93.574
41.992	-80.685
42.236	-79.122
42.480	-73.504
42.725	-77.453
42.969	-70.916
43.213	-68.385
43.457	-64.833
43.701	-59.414
43.945	-54.190
44.189	-46.681
44.434	-36.677
44.678	-16.255
44.922	-5.609
45.166	-7.711
45.410	-26.209
45.654	-40.747
45.898	-49.872
46.143	-56.256
46.387	-61.044
46.631	-66.868
46.875	-67.843
47.119	-73.227
47.363	-76.093
47.607	-78.318
47.852	-83.642
48.096	-79.187
48.340	-82.455
48.584	-87.091
48.828	-82.601
49.072	-89.018
49.316	-85.215
49.561	-88.173
49.805	-87.097
50.049	-81.478
50.293	-79.722
50.537	-85.452
50.781	-101.707
51.025	-84.659
51.270	-86.205
51.514	-77.914
51.758	-78.397
52.002	-79.154
52.246	-77.295
52.490	-86.922
52.734	-92.276
52.979	-84.344
53.223	-99.096
53.467	-83.421
53.711	-78.954
53.955	-83.740
54.199	-82.634
54.443	-81.035
54.687	-71.075
54.932	-58.955
55.176	-61.394
55.420	-84.905
55.664	-87.884
55.908	-84.072
56.152	-90.733
56.396	-93.884
56.641	-97.458
56.885	-82.952
57.129	-82.100
57.373	-78.717
57.617	-87.506
57.861	-80.977
58.105	-77.014
58.350	-80.101
58.594	-91.487
58.838	-84.465
59.082	-79.958
59.326	-77.359
59.570	-78.712
59.814	-86.678
60.059	-82.163
60.303	-91.503
60.547	-89.165
60.791	-76.020
61.035	-78.553
61.279	-82.503
61.523	-79.527
61.768	-79.329
62.012	-83.166
62.256	-83.249
62.500	-83.267
62.744	-86.909
62.988	-77.046
63.232	-79.421
63.477	-84.205
63.721	-82.746
63.965	-99.296
64.209	-85.518
64.453	-81.011
64.697	-78.344
64.941	-69.252
65.186	-72.485
65.430	-90.051
65.674	-92.817
65.918	-83.830
66.162	-80.432
66.406	-80.096
66.650	-77.728
66.895	-81.920
67.139	-84.030
67.383	-95.464
67.627	-85.362
67.871	-80.239
68.115	-85.030
68.359	-86.325
68.604	-87.362
68.848	-93.171
69.092	-90.794
69.336	-84.589
69.580	-88.320
69.824	-83.158
70.068	-83.110
70.312	-85.025
70.557	-84.778
70.801	-89.871
71.045	-94.948
71.289	-102.356
71.533	-90.065
71.777	-79.384
72.021	-83.745
72.266	-83.082
72.510	-83.991
72.754	-80.849
72.998	-78.417
73.242	-84.809
73.486	-83.701
73.730	-80.057
73.975	-85.032
74.219	-88.667
74.463	-100.745
74.707	-76.378
74.951	-74.004
75.195	-86.606
75.439	-79.688
75.684	-90.144
75.928	-86.021
76.172	-80.623
76.416	-78.813
76.660	-80.071
76.904	-104.368
77.148	-87.797
77.393	-94.215
77.637	-85.580
77.881	-83.377
78.125	-94.014
78.369	-83.602
78.613	-85.613
78.857	-87.434
79.102	-98.910
79.346	-105.172
79.590	-88.518
79.834	-82.547
80.078	-83.553
80.322	-81.926
80.566	-80.376
80.811	-97.302
81.055	-75.131
81.299	-73.334
81.543	-75.491
81.787	-85.761
82.031	-84.730
82.275	-82.477
82.520	-78.707
82.764	-85.486
83.008	-82.756
83.252	-109.983
83.496	-83.566
83.740	-88.616
83.984	-90.303
84.229	-82.806
84.473	-80.209
84.717	-76.513
84.961	-72.851
85.205	-78.878
85.449	-92.916
85.693	-84.032
85.937	-76.718
86.182	-75.763
86.426	-81.959
86.670	-89.488
86.914	-88.668
87.158	-88.683
87.402	-90.950
87.646	-84.496
87.891	-80.972
88.135	-87.782
88.379	-82.743
88.623	-84.348
88.867	-83.094
89.111	-89.263
89.355	-86.163
89.600	-87.813
89.844	-78.269
90.088	-74.803
90.332	-77.253
90.576	-86.200
90.820	-84.313
91.064	-83.845
91.309	-83.578
91.553	-82.586
91.797	-79.934
92.041	-84.943
92.285	-87.793
92.529	-90.575
92.773	-88.382
93.018	-87.071
93.262	-82.680
93.506	-81.907
93.750	-91.563
93.994	-87.462
94.238	-90.243
94.482	-90.099
94.727	-83.678
94.971	-69.747
95.215	-68.615
95.459	-73.224
95.703	-78.230
95.947	-83.710
96.191	-97.535
96.436	-84.468
96.680	-83.274
96.924	-85.145
97.168	-91.940
97.412	-85.805
97.656	-80.641
97.900	-81.655
98.145	-84.145
98.389	-84.524
98.633	-80.341
98.877	-77.732
99.121	-88.439
99.365	-85.695
99.609	-90.454
99.854	-80.399
100.098	-77.114
100.342	-84.730
100.586	-93.342
100.830	-90.585
101.074	-84.399
101.318	-76.471
101.562	-84.328
101.807	-83.785
102.051	-81.397
102.295	-80.124
102.539	-76.797
102.783	-77.261
103.027	-85.645
103.271	-83.229
103.516	-81.851
103.760	-83.591
104.004	-85.600
104.248	-97.645
104.492	-88.661
104.736	-76.152
104.980	-76.966
105.225	-81.901
105.469	-78.761
105.713	-84.551
105.957	-82.778
106.201	-88.877
106.445	-76.965
106.689	-81.829
106.934	-82.673
107.178	-77.799
107.422	-81.453
107.666	-83.668
107.910	-84.881
108.154	-85.074
108.398	-87.212
108.643	-84.992
108.887	-81.816
109.131	-87.030
109.375	-99.057
109.619	-95.630
109.863	-84.247
110.107	-83.005
110.352	-89.334
110.596	-86.840
110.840	-79.314
111.084	-80.743
111.328	-87.859
111.572	-84.001
111.816	-81.763
112.061	-81.637
112.305	-81.750
112.549	-82.627
112.793	-80.064
113.037	-81.442
113.281	-86.532
113.525	-83.589
113.770	-85.745
114.014	-89.067
114.258	-80.586
114.502	-80.725
114.746	-75.531
114.990	-73.913
115.234	-81.146
115.479	-99.054
115.723	-83.243
115.967	-84.156
116.211	-85.356
116.455	-80.506
116.699	-83.797
116.943	-87.121
117.187	-83.194
117.432	-83.229
117.676	-85.481
117.920	-81.564
118.164	-80.964
118.408	-85.523
118.652	-86.166
118.896	-79.646
119.141	-81.046
119.385	-79.431
119.629	-77.321
119.873	-76.166
120.117	-75.939
120.361	-76.429
120.605	-77.761
120.850	-89.604
121.094	-80.672
121.338	-86.993
121.582	-86.589
121.826	-83.413
122.070	-81.274
122.314	-78.028
122.559	-77.976
122.803	-78.098
123.047	-88.895
123.291	-92.104
123.535	-97.475
123.779	-86.192
124.023	-88.208
124.268	-84.632
124.512	-80.177
124.756	-65.123
125.000	-59.653
125.244	-66.778
125.488	-79.045
125.732	-89.935
125.977	-93.926
126.221	-84.964
126.465	-83.073
126.709	-80.898
126.953	-80.970
127.197	-82.624
127.441	-82.353
127.686	-83.347
127.930	-102.806
128.174	-88.433
128.418	-95.900
128.662	-88.392
128.906	-84.573
129.150	-87.787
129.395	-83.807
129.639	-87.036
129.883	-91.461
130.127	-100.374
130.371	-84.004
130.615	-82.049
130.859	-78.038
131.104	-80.476
131.348	-98.040
131.592	-94.481
131.836	-88.513
132.080	-90.972
132.324	-93.864
132.568	-90.685
132.812	-87.915
133.057	-84.463
133.301	-84.419
133.545	-82.523
133.789	-88.722
134.033	-87.099
134.277	-74.357
134.521	-66.963
134.766	-29.606
135.010	-24.125
135.254	-30.691
135.498	-69.471
135.742	-75.172
135.986	-83.973
136.230	-82.126
136.475	-93.277
136.719	-90.951
136.963	-90.588
137.207	-84.432
137.451	-87.912
137.695	-89.170
137.939	-84.249
138.184	-84.081
138.428	-80.135
138.672	-87.160
138.916	-76.914
139.160	-76.125
139.404	-85.094
139.648	-93.994
139.893	-86.260
140.137	-87.229
140.381	-85.390
140.625	-82.258
140.869	-79.973
141.113	-78.459
141.357	-82.783
141.602	-85.313
141.846	-95.646
142.090	-88.620
142.334	-92.499
142.578	-84.428
142.822	-80.843
143.066	-84.878
143.311	-81.051
143.555	-81.299
143.799	-87.340
144.043	-88.684
144.287	-90.011
144.531	-95.656
144.775	-63.398
145.020	-57.948
145.264	-65.625
145.508	-77.033
145.752	-79.880
145.996	-99.506
146.240	-82.314
146.484	-80.338
146.729	-91.232
146.973	-85.875
147.217	-88.733
147.461	-79.183
147.705	-74.280
147.949	-76.942
148.193	-88.041
148.437	-76.796
148.682	-73.295
148.926	-74.165
149.170	-74.982
149.414	-77.615
149.658	-82.777
149.902	-93.472
150.146	-91.470
150.391	-94.822
150.635	-85.402
150.879	-82.060
151.123	-91.435
151.367	-95.553
151.611	-92.177
151.855	-78.953
152.100	-84.543
152.344	-80.473
152.588	-81.579
152.832	-97.848
153.076	-83.416
153.320	-81.547
153.564	-100.480
153.809	-83.853
154.053	-83.984
154.297	-84.963
154.541	-89.122
154.785	-72.417
155.029	-66.396
155.273	-70.003
155.518	-88.411
155.762	-93.335
156.006	-79.563
156.250	-79.678
156.494	-83.957
156.738	-75.499
156.982	-77.903
157.227	-83.073
157.471	-82.059
157.715	-70.817
157.959	-66.137
158.203	-73.638
158.447	-69.105
158.691	-77.815
158.936	-82.321
159.180	-85.653
159.424	-94.224
159.668	-88.552
159.912	-79.319
160.156	-80.352
160.400	-94.467
160.645	-85.171
160.889	-82.547
161.133	-79.632
161.377	-83.465
161.621	-83.686
161.865	-86.517
162.109	-80.242
162.354	-86.363
162.598	-87.172
162.842	-84.467
163.086	-85.561
163.330	-81.663
163.574	-83.320
163.818	-96.142
164.062	-84.163
164.307	-77.016
164.551	-91.681
164.795	-92.221
165.039	-79.189
165.283	-83.593
165.527	-81.207
165.771	-76.882
166.016	-88.328
166.260	-85.970
166.504	-95.817
166.748	-82.500
166.992	-82.244
167.236	-80.889
167.480	-93.299
167.725	-85.316
167.969	-89.225
168.213	-87.703
168.457	-84.390
168.701	-89.238
168.945	-87.373
169.189	-83.658
169.434	-82.448
169.678	-84.535
169.922	-83.639
170.166	-78.142
170.410	-83.018
170.654	-84.822
170.898	-86.800
171.143	-80.927
171.387	-81.581
171.631	-89.376
171.875	-97.167
172.119	-88.386
172.363	-87.617
172.607	-85.100
172.852	-87.514
173.096	-86.641
173.340	-95.604
173.584	-88.510
173.828	-77.437
174.072	-77.914
174.316	-83.907
174.561	-89.063
174.805	-73.809
175.049	-73.824
175.293	-86.826
175.537	-92.584
175.781	-87.582
176.025	-85.288
176.270	-79.762
176.514	-85.920
176.758	-86.283
177.002	-79.883
177.246	-75.044
177.490	-78.517
177.734	-91.569
177.979	-80.619
178.223	-76.983
178.467	-78.795
178.711	-79.291
178.955	-84.551
179.199	-89.067
179.443	-87.394
179.687	-79.857
179.932	-86.299
180.176	-88.180
180.420	-91.027
180.664	-95.763
180.908	-85.202
181.152	-83.449
181.396	-89.634
181.641	-82.634
181.885	-81.636
182.129	-83.295
182.373	-82.222
182.617	-83.588
182.861	-83.501
183.105	-82.097
183.350	-82.140
183.594	-77.090
183.838	-80.994
184.082	-91.121
184.326	-80.308
184.570	-79.979
184.814	-85.774
185.059	-82.532
185.303	-93.705
185.547	-78.863
185.791	-81.731
186.035	-79.262
186.279	-83.495
186.523	-82.375
186.768	-89.680
187.012	-81.096
187.256	-78.862
187.500	-84.943
187.744	-88.147
187.988	-89.650
188.232	-91.014
188.477	-90.275
188.721	-90.477
188.965	-85.909
189.209	-90.119
189.453	-83.995
189.697	-76.585
189.941	-69.722
190.186	-72.498
190.430	-90.787
190.674	-98.519
190.918	-92.719
191.162	-91.907
191.406	-82.815
191.650	-97.849
191.895	-82.650
192.139	-83.520
192.383	-83.342
192.627	-88.852
192.871	-83.987
193.115	-81.162
193.359	-82.903
193.604	-82.844
193.848	-95.178
194.092	-83.411
194.336	-81.750
194.580	-78.250
194.824	-75.560
195.068	-72.440
195.312	-80.052
195.557	-81.972
195.801	-77.136
196.045	-77.821
196.289	-80.167
196.533	-82.614
196.777	-96.262
197.021	-86.236
197.266	-81.655
197.510	-79.209
197.754	-77.850
197.998	-82.295
198.242	-98.800
198.486	-89.539
198.730	-89.207
198.975	-83.174
199.219	-84.261
199.463	-88.259
199.707	-84.378
199.951	-81.437
200.195	-83.889
200.439	-84.859
200.684	-86.628
200.928	-82.752
201.172	-79.564
201.416	-83.845
201.660	-81.880
201.904	-84.681
202.148	-78.675
202.393	-77.281
202.637	-82.243
202.881	-71.950
203.125	-71.124
203.369	-80.210
203.613	-90.334
203.857	-98.103
204.102	-85.688
204.346	-83.124
204.590	-74.915
204.834	-68.235
205.078	-69.146
205.322	-79.025
