Time	Ch 0
[s]	[V]
0.000000	1.843032
2.500000E-5	2.419886
5.000000E-5	2.760277
7.500000E-5	2.831643
1.000000E-4	2.625765
0.000125	2.165005
0.000150	1.491789
0.000175	0.673867
0.000200	-0.209502
0.000225	-1.071164
0.000250	-1.827585
0.000275	-2.403451
0.000300	-2.743512
0.000325	-2.815207
0.000350	-2.609329
0.000375	-2.146926
0.000400	-1.475027
0.000425	-0.656119
0.000450	0.226592
0.000475	1.087597
0.000500	1.843361
0.000525	2.419229
0.000550	2.760277
0.000575	2.831315
0.000600	2.626094
0.000625	2.164018
0.000650	1.492118
0.000675	0.674525
0.000700	-0.209502
0.000725	-1.071493
0.000750	-1.827256
0.000775	-2.403451
0.000800	-2.743841
0.000825	-2.814878
0.000850	-2.609329
0.000875	-2.147584
0.000900	-1.475027
0.000925	-0.657106
0.000950	0.225934
0.000975	1.087597
0.001000	1.843690
0.001025	2.420215
0.001050	2.759948
0.001075	2.831315
0.001100	2.626094
0.001125	2.164347
0.001150	1.491460
0.001175	0.673867
0.001200	-0.209173
0.001225	-1.070835
0.001250	-1.826269
0.001275	-2.404109
0.001300	-2.743841
0.001325	-2.814878
0.001350	-2.608671
0.001375	-2.147584
0.001400	-1.474698
0.001425	-0.656777
0.001450	0.225934
0.001475	1.087597
0.001500	1.843690
0.001525	2.420215
0.001550	2.759948
0.001575	2.832301
0.001600	2.626094
0.001625	2.164018
0.001650	1.491789
0.001675	0.673867
0.001700	-0.209502
0.001725	-1.071164
0.001750	-1.826927
0.001775	-2.403780
0.001800	-2.744169
0.001825	-2.814549
0.001850	-2.609329
0.001875	-2.146926
0.001900	-1.475027
0.001925	-0.656448
0.001950	0.225934
0.001975	1.087268
0.002000	1.844019
0.002025	2.419229
0.002050	2.759948
0.002075	2.830986
0.002100	2.626094
0.002125	2.164347
0.002150	1.491460
0.002175	0.673538
0.002200	-0.209502
0.002225	-1.071164
0.002250	-1.826598
0.002275	-2.403122
0.002300	-2.743841
0.002325	-2.814878
0.002350	-2.609000
0.002375	-2.146926
0.002400	-1.475027
0.002425	-0.656448
0.002450	0.225934
0.002475	1.087268
0.002500	1.844019
0.002525	2.420544
0.002550	2.760277
0.002575	2.831315
0.002600	2.625436
0.002625	2.165005
0.002650	1.492118
0.002675	0.673867
0.002700	-0.209502
0.002725	-1.071164
0.002750	-1.826927
0.002775	-2.403122
0.002800	-2.743183
0.002825	-2.815207
0.002850	-2.609658
0.002875	-2.146926
0.002900	-1.474369
0.002925	-0.656448
0.002950	0.225934
0.002975	1.087268
0.003000	1.843361
0.003025	2.420215
0.003050	2.760934
0.003075	2.831643
0.003100	2.626094
