Time	Ch 0
[s]	[V]
0.000000	2.949054
2.000000E-5	2.899722
4.000000E-5	2.826710
6.000000E-5	2.740215
8.000000E-5	2.631027
0.000100	2.519537
0.000120	2.387327
0.000140	2.246238
0.000160	2.093638
0.000180	1.924594
0.000200	1.745684
0.000220	1.558551
0.000240	1.356291
0.000260	1.146795
0.000280	0.934339
0.000300	0.719252
0.000320	0.494299
0.000340	0.267044
0.000360	0.038473
0.000380	-0.188454
0.000400	-0.420313
0.000420	-0.645595
0.000440	-0.868904
0.000460	-1.090568
0.000480	-1.306641
0.000500	-1.513177
0.000520	-1.713135
0.000540	-1.897636
0.000560	-2.080821
0.000580	-2.253483
0.000600	-2.404767
0.000620	-2.552104
0.000640	-2.682340
0.000660	-2.795803
0.000680	-2.902031
0.000700	-2.990828
0.000720	-3.061866
0.000740	-3.118104
0.000760	-3.148032
0.000780	-3.176316
0.000800	-3.183551
0.000820	-3.163161
0.000840	-3.138166
0.000860	-3.094425
0.000880	-3.034240
0.000900	-2.950047
0.000920	-2.853357
0.000940	-2.753378
0.000960	-2.622155
0.000980	-2.489617
0.001000	-2.343595
0.001020	-2.177840
0.001040	-2.005837
0.001060	-1.820678
0.001080	-1.630586
0.001100	-1.435561
0.001120	-1.228368
0.001140	-1.018872
0.001160	-0.802141
0.001180	-0.582121
0.001200	-0.355853
0.001220	-0.132544
0.001240	0.084516
0.001260	0.306509
0.001280	0.524227
0.001300	0.737012
0.001320	0.941245
0.001340	1.142848
0.001360	1.336887
0.001380	1.517441
0.001400	1.694378
0.001420	1.853556
0.001440	2.007472
0.001460	2.141983
0.001480	2.269259
0.001500	2.372857
0.001520	2.465601
0.001540	2.558345
0.001560	2.616885
0.001580	2.667533
0.001600	2.695816
0.001620	2.716536
0.001640	2.715549
0.001660	2.682661
0.001680	2.660297
0.001700	2.608992
0.001720	2.531705
0.001740	2.446526
0.001760	2.347204
0.001780	2.232754
0.001800	2.091994
0.001820	1.957811
0.001840	1.803895
0.001860	1.633865
0.001880	1.460217
0.001900	1.267822
0.001920	1.067206
0.001940	0.863959
0.001960	0.649530
0.001980	0.425563
0.002000	0.213107
0.002020	-0.020068
0.002040	-0.250283
0.002060	-0.478853
0.002080	-0.711371
0.002100	-0.932706
0.002120	-1.156343
0.002140	-1.382283
0.002160	-1.588490
0.002180	-1.798315
0.002200	-2.004193
0.002220	-2.180800
0.002240	-2.374181
0.002260	-2.536976
0.002280	-2.695495
0.002300	-2.844806
0.002320	-2.972082
0.002340	-3.087848
0.002360	-3.196049
0.002380	-3.281557
0.002400	-3.356541
0.002420	-3.408833
0.002440	-3.447970
0.002460	-3.470991
0.002480	-3.472965
0.002500	-3.462769
0.002520	-3.432841
0.002540	-3.394363
0.002560	-3.328258
0.002580	-3.246367
0.002600	-3.158228
0.002620	-3.046409
0.002640	-2.921435
0.002660	-2.789884
0.002680	-2.644848
0.002700	-2.485671
0.002720	-2.304459
0.002740	-2.129495
0.002760	-1.932826
0.002780	-1.740432
0.002800	-1.530936
0.002820	-1.317823
0.002840	-1.106025
0.002860	-0.883045
0.002880	-0.662697
0.002900	-0.437744
0.002920	-0.214106
0.002940	0.003612
0.002960	0.221987
0.002980	0.435758
0.003000	0.641637
0.003020	0.845213
0.003040	1.033003
0.003060	1.215202
0.003080	1.393125
0.003100	1.552303
0.003120	1.710165
0.003140	1.845005
0.003160	1.972939
0.003180	2.074563
0.003200	2.175529
0.003220	2.259064
0.003240	2.321880
0.003260	2.372199
0.003280	2.395549
0.003300	2.419557
0.003320	2.414953
0.003340	2.393247
0.003360	2.361675
0.003380	2.308396
0.003400	2.241634
0.003420	2.155796
0.003440	2.055159
0.003460	1.941367
0.003480	1.807513
0.003500	1.669384
0.003520	1.515797
0.003540	1.343793
0.003560	1.169487
0.003580	0.978409
0.003600	0.783383
0.003620	0.574545
0.003640	0.358143
0.003660	0.142070
0.003680	-0.077621
0.003700	-0.305863
0.003720	-0.539696
0.003740	-0.765307
0.003760	-0.995193
0.003780	-1.219159
0.003800	-1.445428
0.003820	-1.665448
0.003840	-1.879548
0.003860	-2.090688
0.003880	-2.286699
0.003900	-2.477778
0.003920	-2.658332
0.003940	-2.827705
0.003960	-2.987211
0.003980	-3.134877
0.004000	-3.268731
0.004020	-3.377261
0.004040	-3.493684
0.004060	-3.575904
0.004080	-3.654506
0.004100	-3.704824
0.004120	-3.738699
0.004140	-3.772573
0.004160	-3.770600
0.004180	-3.760405
0.004200	-3.727188
0.004220	-3.690353
0.004240	-3.627866
0.004260	-3.542029
0.004280	-3.459152
0.004300	-3.353910
0.004320	-3.220057
0.004340	-3.094754
0.004360	-2.944457
0.004380	-2.785608
0.004400	-2.615249
0.004420	-2.426144
0.004440	-2.239999
0.004460	-2.041685
0.004480	-1.829887
0.004500	-1.623022
0.004520	-1.405962
0.004540	-1.185614
0.004560	-0.966909
0.004580	-0.744916
0.004600	-0.519634
0.004620	-0.297970
0.004640	-0.089132
0.004660	0.133519
0.004680	0.337095
0.004700	0.536724
0.004720	0.732407
0.004740	0.912962
0.004760	1.092859
0.004780	1.252365
0.004800	1.405623
0.004820	1.542765
0.004840	1.663135
0.004860	1.772981
0.004880	1.880195
0.004900	1.954851
0.004920	2.025560
0.004940	2.076536
0.004960	2.104491
0.004980	2.122579
0.005000	2.123237
0.005020	2.101860
0.005040	2.069630
0.005060	2.010103
0.005080	1.945971
0.005100	1.859147
0.005120	1.766074
0.005140	1.647020
0.005160	1.517770
0.005180	1.379641
0.005200	1.225068
0.005220	1.053722
0.005240	0.873496
0.005260	0.691297
0.005280	0.492654
0.005300	0.284803
0.005320	0.070045
0.005340	-0.145370
0.005360	-0.366048
0.005380	-0.596263
0.005400	-0.826478
0.005420	-1.054062
0.005440	-1.282962
0.005460	-1.506599
0.005480	-1.733197
0.005500	-1.956176
0.005520	-2.164028
0.005540	-2.367275
0.005560	-2.558682
0.005580	-2.742854
0.005600	-2.921764
0.005620	-3.078639
0.005640	-3.237487
0.005660	-3.377590
0.005680	-3.502235
0.005700	-3.605174
0.005720	-3.706140
0.005740	-3.789675
0.005760	-3.853148
0.005780	-3.909058
0.005800	-3.935039
0.005820	-3.953785
0.005840	-3.957403
0.005860	-3.931750
0.005880	-3.904453
0.005900	-3.854793
0.005920	-3.782768
0.005940	-3.696273
0.005960	-3.596623
0.005980	-3.486777
0.006000	-3.357857
0.006020	-3.215453
0.006040	-3.061866
0.006060	-2.889863
0.006080	-2.718188
0.006100	-2.529741
0.006120	-2.324191
0.006140	-2.119300
0.006160	-1.913093
0.006180	-1.689456
0.006200	-1.463187
0.006220	-1.243825
0.006240	-1.012952
0.006260	-0.785039
0.006280	-0.554824
0.006300	-0.327898
0.006320	-0.107878
0.006340	0.116417
0.006360	0.330517
0.006380	0.540342
0.006400	0.741616
0.006420	0.928748
0.006440	1.111276
0.006460	1.285911
0.006480	1.443115
0.006500	1.595715
0.006520	1.727266
0.006540	1.837770
0.006560	1.949918
0.006580	2.035755
0.006600	2.108437
0.006620	2.164676
0.006640	2.199537
0.006660	2.227492
0.006680	2.233741
0.006700	2.223874
0.006720	2.197564
0.006740	2.151192
0.006760	2.093967
0.006780	2.012405
0.006800	1.924594
0.006820	1.814748
0.006840	1.687143
0.006860	1.561511
0.006880	1.413187
0.006900	1.246774
0.006920	1.082663
0.006940	0.901451
0.006960	0.710372
0.006980	0.514360
0.007000	0.311113
0.007020	0.097342
0.007040	-0.120704
0.007060	-0.335462
0.007080	-0.560415
0.007100	-0.786355
0.007120	-1.004402
0.007140	-1.222777
0.007160	-1.441481
0.007180	-1.658212
0.007200	-1.861788
0.007220	-2.065364
0.007240	-2.258416
0.007260	-2.443245
0.007280	-2.617880
0.007300	-2.781990
0.007320	-2.939194
0.007340	-3.073048
0.007360	-3.201311
0.007380	-3.306223
0.007400	-3.412451
0.007420	-3.493026
0.007440	-3.556829
0.007460	-3.606818
0.007480	-3.637733
0.007500	-3.660425
0.007520	-3.658452
0.007540	-3.638062
0.007560	-3.607476
0.007580	-3.554855
0.007600	-3.492040
0.007620	-3.401927
0.007640	-3.310498
0.007660	-3.197035
0.007680	-3.063182
0.007700	-2.924395
0.007720	-2.770151
0.007740	-2.596174
0.007760	-2.424499
0.007780	-2.238683
0.007800	-2.038396
0.007820	-1.836136
0.007840	-1.623680
0.007860	-1.403660
0.007880	-1.183312
0.007900	-0.954083
0.007920	-0.722224
0.007940	-0.497271
0.007960	-0.266069
0.007980	-0.043747
0.008000	0.186797
0.008020	0.409119
0.008040	0.619602
0.008060	0.833702
0.008080	1.030372
0.008100	1.222766
0.008120	1.407267
0.008140	1.571049
0.008160	1.735817
0.008180	1.880524
0.008200	2.017667
0.008220	2.135734
0.008240	2.237687
0.008260	2.328129
0.008280	2.405087
0.008300	2.456392
0.008320	2.496844
0.008340	2.523483
0.008360	2.531048
0.008380	2.517235
0.008400	2.491911
0.008420	2.449157
0.008440	2.387985
0.008460	2.315960
0.008480	2.224532
0.008500	2.116988
0.008520	1.994974
0.008540	1.860462
0.008560	1.714769
0.008580	1.551316
0.008600	1.382601
0.008620	1.206980
0.008640	1.015243
0.008660	0.817587
0.008680	0.614669
0.008700	0.403528
0.008720	0.185482
0.008740	-0.041445
0.008760	-0.262122
0.008780	-0.483129
0.008800	-0.704464
0.008820	-0.927115
0.008840	-1.140228
0.008860	-1.353342
0.008880	-1.557904
0.008900	-1.764111
0.008920	-1.955519
0.008940	-2.140019
0.008960	-2.317285
0.008980	-2.480409
0.009000	-2.633008
0.009020	-2.776728
0.009040	-2.901702
0.009060	-3.013192
0.009080	-3.114158
0.009100	-3.191773
0.009120	-3.261496
0.009140	-3.317405
0.009160	-3.341742
0.009180	-3.360488
0.009200	-3.367723
0.009220	-3.344044
0.009240	-3.314445
0.009260	-3.261167
0.009280	-3.197693
0.009300	-3.109554
0.009320	-3.016481
0.009340	-2.905649
0.009360	-2.774097
0.009380	-2.630706
0.009400	-2.482053
0.009420	-2.311694
0.009440	-2.139691
0.009460	-1.950585
0.009480	-1.751285
0.009500	-1.545407
0.009520	-1.333280
0.009540	-1.112603
0.009560	-0.891925
0.009580	-0.669603
0.009600	-0.436428
0.009620	-0.204569
0.009640	0.022687
0.009660	0.248298
0.009680	0.471277
0.009700	0.695902
0.009720	0.909673
0.009740	1.120813
0.009760	1.313536
0.009780	1.513824
0.009800	1.692734
0.009820	1.862765
0.009840	2.025889
0.009860	2.168622
0.009880	2.312014
0.009900	2.428766
0.009920	2.526772
0.009940	2.625765
0.009960	2.689567
0.009980	2.752712
0.010000	2.787902
0.010020	2.814871
0.010040	2.828684
0.010060	2.807635
0.010080	2.791849
0.010100	2.748437
0.010120	2.683648
0.010140	2.610965
0.010160	2.526114
0.010180	2.420544
0.010200	2.297214
0.010220	2.158427
0.010240	2.013391
0.010260	1.849281
0.010280	1.688459
0.010300	1.500998
0.010320	1.311892
0.010340	1.118182
0.010360	0.908357
0.010380	0.703137
0.010400	0.488708
0.010420	0.266057
0.010440	0.048668
0.010460	-0.175298
0.010480	-0.403869
0.010500	-0.620929
0.010520	-0.838976
0.010540	-1.053733
0.010560	-1.255336
0.010580	-1.462529
0.010600	-1.651964
0.010620	-1.839095
0.010640	-2.021952
0.010660	-2.176525
0.010680	-2.339320
0.010700	-2.475476
0.010720	-2.598147
0.010740	-2.719175
0.010760	-2.808301
0.010780	-2.898085
0.010800	-2.954981
0.010820	-3.008259
0.010840	-3.049040
0.010860	-3.059893
0.010880	-3.070417
0.010900	-3.048711
0.010920	-3.020756
0.010940	-2.975371
0.010960	-2.901373
0.010980	-2.821785
0.011000	-2.724437
0.011020	-2.615578
0.011040	-2.485342
0.011060	-2.337018
0.011080	-2.190009
0.011100	-2.026227
0.011120	-1.848633
0.011140	-1.659857
0.011160	-1.459898
0.011180	-1.261256
0.011200	-1.050116
0.011220	-0.825820
0.011240	-0.607445
0.011260	-0.376243
0.011280	-0.149975
0.011300	0.079583
0.011320	0.312758
0.011340	0.533435
0.011360	0.763322
0.011380	0.976107
0.011400	1.195140
0.011420	1.404636
0.011440	1.600977
0.011460	1.801922
0.011480	1.983463
0.011500	2.159085
0.011520	2.315303
0.011540	2.462641
0.011560	2.596495
0.011580	2.720482
0.011600	2.822435
0.011620	2.912877
0.011640	2.981941
0.011660	3.044429
0.011680	3.087512
0.011700	3.109547
0.011720	3.123031
0.011740	3.107574
0.011760	3.088170
0.011780	3.040482
0.011800	2.979639
0.011820	2.906628
0.011840	2.821448
0.011860	2.714891
0.011880	2.596823
0.011900	2.455076
0.011920	2.316947
0.011940	2.159085
0.011960	1.988068
0.011980	1.805869
0.012000	1.618407
0.012020	1.424369
0.012040	1.212242
0.012060	1.002088
0.012080	0.787659
0.012100	0.570599
0.012120	0.349921
0.012140	0.120693
0.012160	-0.098012
0.012180	-0.321321
0.012200	-0.533447
0.012220	-0.749521
0.012240	-0.954083
0.012260	-1.153055
0.012280	-1.345120
0.012300	-1.535869
0.012320	-1.719384
0.012340	-1.881192
0.012360	-2.034120
0.012380	-2.174223
0.012400	-2.301170
0.012420	-2.419237
0.012440	-2.510994
0.012460	-2.598147
0.012480	-2.656030
0.012500	-2.711610
0.012520	-2.749103
0.012540	-2.763244
0.012560	-2.775413
0.012580	-2.755022
0.012600	-2.724766
0.012620	-2.680696
0.012640	-2.604067
0.012660	-2.529083
0.012680	-2.432392
0.012700	-2.317285
0.012720	-2.199546
0.012740	-2.044645
0.012760	-1.894018
0.012780	-1.736485
0.012800	-1.555273
0.012820	-1.365181
0.012840	-1.176076
0.012860	-0.967238
0.012880	-0.757743
0.012900	-0.540025
0.012920	-0.312441
0.012940	-0.085186
0.012960	0.135492
0.012980	0.368009
0.013000	0.602171
0.013020	0.826138
0.013040	1.052406
0.013060	1.274400
0.013080	1.485869
0.013100	1.693721
0.013120	1.895981
0.013140	2.092651
0.013160	2.269917
0.013180	2.449485
0.013200	2.611952
0.013220	2.754686
0.013240	2.887882
0.013260	3.009239
0.013280	3.118098
0.013300	3.204264
0.013320	3.271685
0.013340	3.339105
0.013360	3.380544
0.013380	3.402579
0.013400	3.417707
0.013420	3.408827
0.013440	3.385806
0.013460	3.341407
0.013480	3.277276
0.013500	3.211500
0.013520	3.123360
0.013540	3.015816
0.013560	2.894459
0.013580	2.758632
0.013600	2.616885
0.013620	2.460996
0.013640	2.284388
0.013660	2.107451
0.013680	1.918345
0.013700	1.722333
0.013720	1.517770
0.013740	1.302683
0.013760	1.095490
0.013780	0.874812
0.013800	0.649859
0.013820	0.426550
0.013840	0.203899
0.013860	-0.010859
0.013880	-0.235154
0.013900	-0.448925
0.013920	-0.657106
0.013940	-0.860682
0.013960	-1.045511
0.013980	-1.239550
0.014000	-1.412869
0.014020	-1.577966
0.014040	-1.734183
0.014060	-1.870010
0.014080	-2.002548
0.014100	-2.119629
0.014120	-2.214346
0.014140	-2.303143
0.014160	-2.360368
0.014180	-2.417593
0.014200	-2.452125
0.014220	-2.470542
0.014240	-2.478435
0.014260	-2.456730
0.014280	-2.428117
0.014300	-2.383718
0.014320	-2.314983
0.014340	-2.239341
0.014360	-2.137388
0.014380	-2.025241
0.014400	-1.902569
0.014420	-1.760165
0.014440	-1.608552
0.014460	-1.440166
0.014480	-1.268491
0.014500	-1.077084
0.014520	-0.885347
0.014540	-0.680456
0.014560	-0.465698
0.014580	-0.253572
0.014600	-0.026645
0.014620	0.201926
0.014640	0.428194
0.014660	0.658409
0.014680	0.888954
0.014700	1.115880
0.014720	1.340833
0.014740	1.558222
0.014760	1.775283
0.014780	1.986752
0.014800	2.186711
0.014820	2.379763
0.014840	2.567224
0.014860	2.736268
0.014880	2.895775
0.014900	3.047389
0.014920	3.178612
0.014940	3.300955
0.014960	3.409156
0.014980	3.498283
0.015000	3.570636
0.015020	3.633452
0.015040	3.670287
0.015060	3.701860
0.015080	3.711068
0.015100	3.699228
0.015120	3.677522
0.015140	3.633781
0.015160	3.576885
0.015180	3.508478
0.015200	3.420667
0.015220	3.317728
0.015240	3.200318
0.015260	3.068437
0.015280	2.916494
0.015300	2.761263
0.015320	2.595508
0.015340	2.409691
0.015360	2.218941
0.015380	2.022271
0.015400	1.819353
0.015420	1.608541
0.015440	1.391481
0.015460	1.173105
0.015480	0.954072
0.015500	0.730105
0.015520	0.507783
0.015540	0.289078
0.015560	0.066099
0.015580	-0.138135
0.015600	-0.349933
0.015620	-0.552851
0.015640	-0.749192
0.015660	-0.936981
0.015680	-1.112274
0.015700	-1.280660
0.015720	-1.433259
0.015740	-1.575664
0.015760	-1.705571
0.015780	-1.818047
0.015800	-1.915724
0.015820	-2.003535
0.015840	-2.067008
0.015860	-2.123247
0.015880	-2.155148
0.015900	-2.175209
0.015920	-2.181787
0.015940	-2.161397
0.015960	-2.130482
0.015980	-2.086083
0.016000	-2.017348
0.016020	-1.944008
0.016040	-1.846989
0.016060	-1.738459
0.016080	-1.612169
0.016100	-1.467134
0.016120	-1.318810
0.016140	-1.156343
0.016160	-0.974802
0.016180	-0.790630
0.016200	-0.595605
0.016220	-0.390056
0.016240	-0.176943
0.016260	0.040446
0.016280	0.259479
0.016300	0.486735
0.016320	0.717937
0.016340	0.940588
0.016360	1.176723
0.016380	1.399374
0.016400	1.625643
0.016420	1.847636
0.016440	2.060092
